LoanID,Forecast_OverdueAmount,Forecast_NPA_Percent,PredictedRiskScore,PriorityRecoveryFlag
L02645,4217.0,1.24,96.67,No
L02646,799.0,0.06,99.43,No
L02647,1242.0,0.08,89.85,No
L02648,130860.4,15.43,84.23,Yes
L02649,3734.0,0.39,94.9,No
L02650,2639.0,0.22,82.45,No
L02651,3866.0,0.36,89.28,No
L02652,126329.01999999997,40.16,96.25,Yes
L02653,4211.0,0.65,71.81,No
L02654,4594.0,0.56,89.6,No
L02655,1334.0,0.23,66.07,No
L02656,2315.0,0.76,66.58,No
L02657,2860.0,0.26,91.64,No
L02658,238781.6799999999,70.58,79.99,No
L02659,1425.0,0.33,79.14,No
L02660,3747.0,0.81,84.41,No
L02661,2513.0,0.88,95.14,No
L02662,599.0,0.05,93.87,No
L02663,4674.0,0.5,82.8,No
L02664,3970.0,0.31,82.34,No
L02665,361050.29999999993,47.14,83.96,Yes
L02666,1445.0,0.18,,No
L02667,2515.0,0.27,96.08,No
L02668,309271.55,52.61,62.709999999999994,No
L02669,3892.0,0.51,81.5,No
L02670,361752.3500000001,42.91,71.86,No
L02671,4972.0,0.35,87.25,No
L02672,2328.0,0.18,67.68,No
L02673,3515.0,1.48,89.51,No
L02674,35663.32000000001,32.46,84.78,Yes
L02675,3376.0,0.33,92.77,No
L02676,62803.130000000005,51.76,94.83,Yes
L02677,76253.46,55.45,100.42,Yes
L02678,88055.28,31.34,67.66,No
L02679,4253.0,0.76,76.7,No
L02680,973.0,0.14,79.84,No
L02681,154356.6,19.22,92.77,Yes
L02682,515059.28,34.6,61.58,No
L02683,4358.0,0.72,95.09,No
L02684,3301.0,0.82,72.88,No
L02685,4577.0,0.52,85.61,No
L02686,1525.0,0.42,102.24,No
L02687,476253.04000000004,33.69,94.42,Yes
L02688,64210.36,15.08,71.13,No
L02689,701349.7000000002,47.22,80.9,Yes
L02690,181435.8,27.61,87.03,Yes
L02691,623.0,0.05,87.0,No
L02692,555.0,0.06,87.49,No
L02693,4062.0,0.29,61.42,No
L02694,1222.0,0.13,66.76,No
L02695,1021.0,0.11,69.65,No
L02696,1507.0,0.15,71.77,No
L02697,2944.0,0.25,64.75,No
L02698,2886.0,0.21,91.46,No
L02699,501.0,0.11,76.31,No
L02700,148193.16000000003,43.42,89.25,Yes
L02701,4846.0,4.86,100.33,No
L02702,2068.0,0.35,72.21,No
L02703,4386.0,0.34,75.7,No
L02704,2192.0,1.45,60.41,No
L02705,916.0,0.11,68.5,No
L02706,576543.75,54.52,83.3,Yes
L02707,3308.0,0.26,65.03,No
L02708,4579.0,0.51,77.94,No
L02709,2168.0,0.68,72.2,No
L02710,572164.81,39.5,98.61,Yes
L02711,1922.0,1.03,74.65,No
L02712,3861.0,0.33,61.52,No
L02713,1713.0,0.98,80.45,No
L02714,3826.0,1.48,70.03,No
L02715,790.0,0.06,75.43,No
L02716,2572.0,0.23,76.45,No
L02717,4578.0,0.79,92.37,No
L02718,3607.0,0.37,77.43,No
L02719,4723.0,0.66,69.86,No
L02720,2006.0,1.37,91.91,No
L02721,2493.0,0.23,75.29,No
L02722,434054.48,37.52,69.67,No
L02723,558009.39,41.97,96.94,Yes
L02724,167424.53000000003,20.08,59.07,No
L02725,2464.0,0.24,84.66,No
L02726,631.0,0.09,90.05,No
L02727,3298.0,0.64,75.8,No
L02728,985.0,0.15,65.14,No
L02729,4485.0,0.33,75.03,No
L02730,1196.0,0.42,82.82,No
L02731,3962.0,0.97,96.99,No
L02732,2826.0,0.3,59.76,No
L02733,1936.0,0.89,85.58,No
L02734,1131.0,0.08,88.37,No
L02735,18342.3,15.48,81.1,Yes
L02736,761.0,0.07,87.57,No
L02737,2058.0,0.35,95.14,No
L02738,895.0,0.72,85.04,No
L02739,4304.0,0.34,93.38,No
L02740,3169.0,0.32,65.2,No
L02741,37681.85999999999,59.96,81.13,Yes
L02742,4657.0,1.06,60.31,No
L02743,833.0,0.15,93.34,No
L02744,4783.0,0.92,93.31,No
L02745,2857.0,0.37,84.02,No
L02746,2144.0,0.26,73.44,No
L02747,4062.0,0.65,72.43,No
L02748,360778.08000000013,67.93,71.84,No
L02749,4377.0,0.56,78.69,No
L02750,4372.0,4.43,71.85,No
L02751,3257.0,0.33,81.53,No
L02752,4299.0,0.46,90.67,No
L02753,2063.0,0.45,,No
L02754,2336.0,0.75,83.04,No
L02755,3168.0,2.03,99.0,No
L02756,592868.4800000001,65.75,71.7,No
L02757,1794.0,0.21,84.96,No
L02758,4590.0,0.56,67.43,No
L02759,1112639.8,75.22,90.25,Yes
L02760,2692.0,0.33,88.29,No
L02761,3491.0,0.32,92.52,No
L02762,2677.0,1.25,85.89,No
L02763,222771.16,46.07,67.78,No
L02764,754.0,0.17,61.73,No
L02765,3669.0,0.41,85.86,No
L02766,4970.0,0.94,91.13,No
L02767,4204.0,0.43,64.27000000000001,No
L02768,2460.0,0.23,68.85,No
L02769,16547.09,16.74,94.82,Yes
L02770,507230.1599999999,51.88,96.75,Yes
L02771,4075.0,1.86,80.3,No
L02772,4116.0,0.57,65.98,No
L02773,626764.12,56.8,76.53,No
L02774,2794.0,0.26,90.48,No
L02775,927.0,0.19,79.19,No
L02776,4011.0,0.9,63.25,No
L02777,4909.0,0.71,73.03,No
L02778,4704.0,1.45,93.36,No
L02779,329407.31999999995,22.51,72.71,No
L02780,4184.0,0.76,80.86,No
L02781,850.0,0.06,96.3,No
L02782,3074.0,0.22,102.4,No
L02783,2205.0,0.38,90.53,No
L02784,1592.0,0.38,,No
L02785,962.0,0.08,72.48,No
L02786,2560.0,0.67,70.87,No
L02787,636877.7,79.04,66.26,No
L02788,2150.0,1.02,70.97,No
L02789,604.0,0.1,69.98,No
L02790,80379.0,49.21,89.74,Yes
L02791,4000.0,0.87,83.89,No
L02792,2492.0,0.25,73.3,No
L02793,600766.8399999999,40.39,69.67,No
L02794,1315.0,0.31,83.34,No
L02795,140282.32,19.05,63.099999999999994,No
L02796,152706.25999999998,21.83,63.7,No
L02797,47420.99,14.96,72.95,No
L02798,4981.0,0.53,86.13,No
L02799,4634.0,0.42,88.4,No
L02800,1048.0,0.4,85.79,No
L02801,1572.0,0.14,76.76,No
L02802,1309.0,0.12,86.53,No
L02803,1158.0,0.34,66.24,No
L02804,2448.0,0.25,81.26,No
L02805,3385.0,0.55,81.0,No
L02806,2030.0,0.2,88.03,No
L02807,472777.81000000006,61.45,60.1,No
L02808,3156.0,2.63,67.94,No
L02809,776.0,0.07,60.88,No
L02810,2753.0,0.32,80.31,No
L02811,591.0,0.05,81.23,No
L02812,60191.44999999999,25.85,58.43,No
L02813,4804.0,0.44,89.61,No
L02814,476938.8,73.4,86.77,Yes
L02815,4580.0,0.38,61.55,No
L02816,502417.0599999998,54.68,74.16,No
L02817,1833.0,0.32,92.15,No
L02818,2703.0,0.79,87.8,No
L02819,4616.0,0.37,68.88,No
L02820,1293.0,0.15,87.95,No
L02821,1132.0,0.08,93.6,No
L02822,1320.0,0.22,76.06,No
L02823,474653.49999999994,45.45,87.69,Yes
L02824,1724.0,0.18,61.64,No
L02825,4247.0,0.44,64.28999999999999,No
L02826,772.0,0.07,84.86,No
L02827,3492.0,1.39,78.2,No
L02828,21693.47,2.56,89.59,No
L02829,2436.0,0.31,89.43,No
L02830,2823.0,0.52,68.18,No
L02831,1612.0,0.24,80.98,No
L02832,244797.14999999994,30.51,86.48,Yes
L02833,4668.0,0.91,74.57,No
L02834,1792.0,0.38,71.12,No
L02835,4731.0,0.42,66.33,No
L02836,937.0,0.64,62.09,No
L02837,2604.0,0.52,82.8,No
L02838,1403.0,0.14,81.37,No
L02839,3856.0,1.09,70.58,No
L02840,3525.0,0.4,63.28,No
L02841,2591.0,0.53,67.59,No
L02842,4997.0,0.39,93.24,No
L02843,199400.34999999998,35.77,66.65,No
L02844,978.0,0.26,74.7,No
L02845,3693.0,0.45,73.31,No
L02846,3305.0,1.34,84.43,No
L02847,4990.0,0.41,81.95,No
L02848,4323.0,0.42,101.34,No
L02849,3211.0,0.28,91.14,No
L02850,793.0,0.13,95.59,No
L02851,94561.45000000001,7.5,80.54,Yes
L02852,2193.0,0.29,85.77,No
L02853,2385.0,1.27,92.91,No
L02854,226666.21,60.47,65.6,No
L02855,642072.0,59.39,96.7,Yes
L02856,487679.58,36.13,66.26,No
L02857,3755.0,2.0,89.5,No
L02858,4870.0,0.37,88.16,No
L02859,449942.98,37.23,62.260000000000005,No
L02860,3502.0,0.62,100.17,No
L02861,4614.0,0.44,95.14,No
L02862,2537.0,0.79,86.53,No
L02863,2167.0,0.18,66.06,No
L02864,3225.0,0.32,85.08,No
L02865,1895.0,0.28,73.42,No
L02866,3068.0,0.24,93.3,No
L02867,4218.0,1.67,72.86,No
L02868,652764.08,51.14,86.06,Yes
L02869,2108.0,2.49,86.84,No
L02870,504034.0599999998,44.13,70.57,No
L02871,3235.0,0.37,78.88,No
L02872,2436.0,0.23,73.99,No
L02873,3319.0,0.51,78.61,No
L02874,2547.0,0.2,92.7,No
L02875,4622.0,0.92,67.45,No
L02876,78467.48,17.49,76.01,No
L02877,224461.40000000002,46.04,57.26,No
L02878,4441.0,0.38,72.21,No
L02879,3282.0,0.43,87.25,No
L02880,1295.0,0.16,61.41,No
L02881,4648.0,0.37,74.58,No
L02882,3529.0,0.28,91.33,No
L02883,2098.0,0.74,84.98,No
L02884,2391.0,0.28,63.74,No
L02885,2332.0,1.0,101.7,No
L02886,533580.2699999999,40.75,96.86,Yes
L02887,3050.0,0.24,66.53,No
L02888,4984.0,0.39,92.95,No
L02889,945.0,0.09,78.45,No
L02890,632.0,0.09,96.25,No
L02891,4734.0,0.74,96.75,No
L02892,119020.64,19.1,,No
L02893,702.0,0.48,74.36,No
L02894,47035.41,3.3,97.06,No
L02895,320259.75,45.56,85.37,Yes
L02896,3831.0,0.27,73.32,No
L02897,1217.0,0.09,81.94,No
L02898,3353.0,0.27,73.84,No
L02899,245981.86000000002,27.24,95.48,Yes
L02900,4898.0,2.48,90.97,No
L02901,4994.0,0.96,58.22,No
L02902,4269.0,0.46,57.38,No
L02903,2531.0,3.64,59.71,No
L02904,1839.0,1.64,83.81,No
L02905,1396.0,0.14,92.76,No
L02906,2197.0,0.16,81.08,No
L02907,3341.0,0.26,84.85,No
L02908,2069.0,0.7,68.38,No
L02909,66016.4,4.81,78.91,No
L02910,3173.0,0.3,69.02,No
L02911,725903.3199999997,66.68,73.69,No
L02912,967.0,0.2,76.26,No
L02913,2691.0,0.25,58.85,No
L02914,2912.0,0.27,101.24,No
L02915,3405.0,0.37,99.66,No
L02916,1487.0,0.26,90.05,No
L02917,3178.0,0.26,82.17,No
L02918,4938.0,0.35,93.71,No
L02919,2363.0,0.18,99.99,No
L02920,2326.0,0.58,75.06,No
L02921,1933.0,0.28,72.21,No
L02922,65203.2,11.93,88.43,Yes
L02923,2876.0,0.27,86.07,No
L02924,785330.2000000001,62.54,95.17,Yes
L02925,227238.98,62.62,75.53,No
L02926,2881.0,0.2,74.11,No
L02927,1098.0,0.11,80.83,No
L02928,2784.0,0.76,63.69,No
L02929,2454.0,0.42,59.54,No
L02930,744.0,0.37,70.52,No
L02931,1613.0,0.18,65.17,No
L02932,3022.0,1.02,57.26,No
L02933,1621.0,0.15,92.34,No
L02934,3855.0,0.34,82.19,No
L02935,4922.0,0.66,90.09,No
L02936,3875.0,2.08,69.36,No
L02937,516089.5700000002,55.15,67.01,No
L02938,4669.0,0.79,60.34,No
L02939,273906.3,19.19,95.9,Yes
L02940,2716.0,0.34,62.019999999999996,No
L02941,560.0,0.36,61.52,No
L02942,4517.0,0.46,82.95,No
L02943,829094.5499999998,70.26,76.94,No
L02944,159075.46999999997,56.26,91.62,Yes
L02945,2865.0,0.41,96.43,No
L02946,1040.0,0.09,90.86,No
L02947,13677.699999999999,17.16,87.67,Yes
L02948,55084.89,59.87,68.14,No
L02949,832073.3999999999,80.66,62.48,No
L02950,1882.0,0.17,66.52000000000001,No
L02951,1749.0,0.14,94.27,No
L02952,826.0,0.13,85.63,No
L02953,3140.0,0.51,97.26,No
L02954,4647.0,0.55,89.1,No
L02955,836.0,0.07,69.72,No
L02956,1892.0,0.19,62.49,No
L02957,4469.0,0.85,71.26,No
L02958,3542.0,0.64,67.79,No
L02959,2352.0,0.2,88.51,No
L02960,981.0,0.12,66.74000000000001,No
L02961,4804.0,2.5,90.13,No
L02962,196576.28,72.31,88.17,Yes
L02963,2737.0,0.21,91.72,No
L02964,761491.52,50.82,96.65,Yes
L02965,1846.0,0.34,88.37,No
L02966,325029.0800000001,53.22,90.75,Yes
L02967,55289.64000000001,20.18,60.33,No
L02968,1684.0,0.43,94.78,No
L02969,1675.0,0.25,68.52,No
L02970,835.0,0.18,80.23,No
L02971,196338.88,18.4,97.33,Yes
L02972,3003.0,0.36,69.0,No
L02973,3008.0,0.24,61.38,No
L02974,4508.0,0.41,75.59,No
L02975,1318.0,0.56,69.1,No
L02976,108519.79999999999,47.41,87.05,Yes
L02977,354480.36999999994,26.28,69.86,No
L02978,3932.0,0.32,64.45,No
L02979,286094.71,39.27,98.83,Yes
L02980,30402.52,12.72,65.93,No
L02981,3012.0,0.22,67.58,No
L02982,2365.0,0.62,67.37,No
L02983,533.0,0.52,62.92,No
L02984,999663.1999999997,71.91,68.44,No
L02985,943.0,0.08,95.78,No
L02986,439004.40999999986,41.59,65.46000000000001,No
L02987,3302.0,3.32,58.91,No
L02988,298044.97,36.52,87.73,Yes
L02989,3563.0,0.36,67.47,No
L02990,4300.0,0.37,72.49,No
L02991,318481.18999999994,43.45,62.08,No
L02992,769.0,0.05,71.13,No
L02993,723.0,0.18,76.4,No
L02994,4971.0,3.29,,No
L02995,4268.0,0.8,83.46,No
L02996,3922.0,0.39,90.46,No
L02997,781.0,0.07,100.5,No
L02998,140168.88,12.51,91.01,Yes
L02999,833.0,0.4,100.41,No
L03000,790.0,0.06,64.11,No
L03001,3359.0,0.73,102.62,No
L03002,218870.39999999994,61.76,73.56,No
L03003,1665.0,0.18,69.79,No
L03004,3171.0,0.89,77.74,No
L03005,356991.74999999994,45.38,94.55,Yes
L03006,4806.0,0.75,100.22,No
L03007,838.0,0.22,80.62,No
L03008,4866.0,1.03,63.019999999999996,No
L03009,3784.0,0.56,65.35,No
L03010,2598.0,0.47,73.81,No
L03011,653.0,0.11,76.26,No
L03012,3206.0,0.29,68.29,No
L03013,1378.0,0.47,90.16,No
L03014,4012.0,0.42,71.92,No
L03015,4936.0,0.48,81.12,No
L03016,1377.0,0.11,80.69,No
L03017,912.0,0.07,97.01,No
L03018,1045.0,0.37,85.53,No
L03019,4346.0,1.74,72.95,No
L03020,2898.0,0.31,86.91,No
L03021,1829.0,0.16,73.44,No
L03022,2582.0,0.58,,No
L03023,1027.0,0.13,78.92,No
L03024,1566.0,0.13,92.55,No
L03025,598.0,0.05,97.46,No
L03026,261849.08000000002,26.24,83.21,Yes
L03027,4921.0,3.0,84.28,No
L03028,3060.0,2.48,84.82,No
L03029,722.0,0.12,91.62,No
L03030,3854.0,4.35,61.03,No
L03031,3965.0,0.29,73.65,No
L03032,3219.0,4.06,67.87,No
L03033,3950.0,4.25,60.26,No
L03034,3248.0,1.12,96.37,No
L03035,513.0,0.05,65.23,No
L03036,379987.25,45.49,73.61,No
L03037,4109.0,0.41,96.81,No
L03038,4275.0,0.32,86.13,No
L03039,4386.0,0.62,86.14,No
L03040,8506.18,7.49,74.1,No
L03041,2843.0,0.25,77.1,No
L03042,3397.0,0.28,60.19,No
L03043,3448.0,2.82,,No
L03044,2051.0,0.51,70.26,No
L03045,4354.0,0.37,76.69,No
L03046,1807.0,0.3,63.68,No
L03047,3228.0,0.44,89.72,No
L03048,3709.0,0.3,97.94,No
L03049,49575.4,26.48,80.78,Yes
L03050,281146.19999999995,27.24,66.25,No
L03051,609.0,0.17,98.86,No
L03052,103600.6,73.56,74.43,No
L03053,423326.10000000003,41.89,62.13,No
L03054,2252.0,1.0,69.35,No
L03055,636161.48,56.14,65.67,No
L03056,1067.0,0.31,69.7,No
L03057,4960.0,4.12,64.08,No
L03058,1042.0,0.54,93.99,No
L03059,4280.0,0.34,71.15,No
L03060,343749.52,58.47,80.24,Yes
L03061,4580.0,0.94,88.47,No
L03062,40891.0,5.36,90.4,Yes
L03063,431475.12,44.59,100.3,Yes
L03064,3636.0,3.5,95.68,No
L03065,2712.0,0.2,84.26,No
L03066,30083.71,2.09,91.34,No
L03067,231262.25,35.3,,No
L03068,91934.37999999999,14.18,,No
L03069,4151.0,0.31,67.07,No
L03070,456777.99,67.92,90.26,Yes
L03071,4676.0,0.36,67.55,No
L03072,4463.0,4.9,65.11,No
L03073,2478.0,0.33,66.83,No
L03074,655616.3299999998,45.81,92.17,Yes
L03075,3008.0,0.72,72.93,No
L03076,43249.62,9.92,90.03,Yes
L03077,502363.47000000003,52.13,96.33,Yes
L03078,681107.16,48.9,72.29,No
L03079,3880.0,1.15,93.96,No
L03080,3576.0,0.26,75.72,No
L03081,1504.0,0.15,90.12,No
L03082,638942.82,42.88,70.96,No
L03083,4605.0,0.41,94.33,No
L03084,565016.0,55.49,100.5,Yes
L03085,2958.0,0.24,73.06,No
L03086,1155.0,0.38,67.76,No
L03087,3429.0,0.24,88.73,No
L03088,163925.58999999997,56.5,81.76,Yes
L03089,3775.0,4.33,95.67,No
L03090,325379.1,30.64,88.65,Yes
L03091,4663.0,1.47,95.57,No
L03092,779077.0200000003,67.73,92.33,Yes
L03093,2466.0,0.21,74.68,No
L03094,2633.0,0.67,94.5,No
L03095,60636.079999999994,34.5,81.16,Yes
L03096,2875.0,0.37,78.58,No
L03097,514.0,0.04,64.58,No
L03098,2651.0,0.21,74.85,No
L03099,2748.0,1.25,61.09,No
L03100,4675.0,0.32,87.74,No
L03101,3003.0,0.69,82.61,No
L03102,2838.0,0.51,77.72,No
L03103,7278.98,2.74,95.72,No
L03104,367709.86,61.51,89.03,Yes
L03105,3983.0,0.41,73.47,No
L03106,1415.0,0.18,78.77,No
L03107,2571.0,0.21,78.12,No
L03108,3161.0,0.32,85.27,No
L03109,2841.0,0.66,68.75,No
L03110,2162.0,0.25,72.73,No
L03111,3077.0,2.15,74.68,No
L03112,613.0,0.07,100.57,No
L03113,260639.6499999999,42.38,72.02,No
L03114,4766.0,2.47,78.59,No
L03115,4955.0,1.0,87.09,No
L03116,2049.0,0.15,67.35,No
L03117,3592.0,0.4,87.08,No
L03118,3462.0,0.25,85.98,No
L03119,199853.67999999993,30.95,61.52,No
L03120,476091.6400000001,32.4,68.41,No
L03121,3573.0,0.62,75.19,No
L03122,605.0,0.05,92.58,No
L03123,1595.0,0.32,87.56,No
L03124,4760.0,2.34,91.06,No
L03125,3156.0,0.25,95.19,No
L03126,1540.0,0.13,83.95,No
L03127,804012.4000000001,64.84,82.27,Yes
L03128,1366.0,0.28,98.91,No
L03129,572969.9600000001,53.53,89.9,Yes
L03130,1184.0,0.32,70.96,No
L03131,4186.0,6.3,71.66,No
L03132,475171.6000000001,36.37,72.3,No
L03133,4374.0,0.54,76.31,No
L03134,190526.15000000002,12.91,72.14,No
L03135,2239.0,0.37,70.31,No
L03136,4384.0,0.3,80.2,No
L03137,230784.88000000003,24.5,91.9,Yes
L03138,4687.0,0.59,80.21,No
L03139,3313.0,0.68,72.55,No
L03140,4555.0,0.37,88.71,No
L03141,2736.0,0.22,90.47,No
L03142,1167.0,0.18,86.31,No
L03143,3173.0,0.29,90.31,No
L03144,3485.0,0.5,89.51,No
L03145,1071.0,0.1,91.38,No
L03146,1397.0,0.09,95.03,No
L03147,201239.75,46.73,85.79,Yes
L03148,2304.0,0.24,77.35,No
L03149,4226.0,0.7,66.50999999999999,No
L03150,635331.6,75.17,89.17,Yes
L03151,289213.12,21.95,64.51,No
L03152,2748.0,0.5,91.87,No
L03153,730.0,0.47,75.83,No
L03154,2223.0,0.18,92.17,No
L03155,4357.0,0.51,83.22,No
L03156,82014.87999999999,11.69,80.69,Yes
L03157,1293.0,0.41,74.18,No
L03158,4542.0,2.46,62.39,No
L03159,2995.0,0.66,60.45,No
L03160,1961.0,0.18,83.84,No
L03161,1931.0,0.3,99.14,No
L03162,4041.0,0.46,79.86,No
L03163,1578.0,0.93,97.63,No
L03164,22110.75,9.67,98.99,Yes
L03165,37621.72,56.66,66.97,No
L03166,2175.0,0.21,84.72,No
L03167,1762.0,0.41,75.26,No
L03168,175176.0,12.06,71.14,No
L03169,395226.1599999999,79.48,67.4,No
L03170,3407.0,0.59,68.54,No
L03171,4270.0,0.58,92.46,No
L03172,4442.0,0.87,70.85,No
L03173,1780.0,0.14,68.97,No
L03174,4066.0,0.31,92.55,No
L03175,3794.0,5.75,58.34,No
L03176,3580.0,0.36,90.69,No
L03177,1930.0,0.18,101.46,No
L03178,809093.4000000004,56.03,84.4,Yes
L03179,1712.0,0.29,81.38,No
L03180,2270.0,0.68,61.4,No
L03181,3083.0,0.38,77.62,No
L03182,4908.0,0.7,75.09,No
L03183,1484.0,0.12,87.35,No
L03184,1710.0,0.13,90.66,No
L03185,1300.0,0.74,69.54,No
L03186,4572.0,0.36,79.37,No
L03187,1757.0,0.13,91.54,No
L03188,182048.28,13.1,83.36,Yes
L03189,3053.0,0.26,82.76,No
L03190,1681.0,0.15,95.02,No
L03191,2485.0,3.47,101.69,No
L03192,710447.72,51.32,67.18,No
L03193,1657.0,0.3,70.13,No
L03194,4164.0,3.8,95.73,No
L03195,373391.20000000007,57.55,71.48,No
L03196,3890.0,0.35,97.07,No
L03197,3703.0,0.54,75.75,No
L03198,1463.0,0.13,60.75,No
L03199,1323.0,0.17,78.46,No
L03200,1126.0,0.23,62.57,No
L03201,2772.0,0.81,66.11,No
L03202,2910.0,0.44,75.7,No
L03203,2075.0,2.04,62.5,No
L03204,4069.0,0.61,60.3,No
L03205,3152.0,2.11,70.05,No
L03206,161886.96,12.25,82.05,Yes
L03207,1908.0,0.22,101.99,No
L03208,2900.0,0.29,64.64,No
L03209,1846.0,0.39,86.26,No
L03210,1790.0,0.47,81.39,No
L03211,4125.0,0.38,59.35,No
L03212,1991.0,0.19,62.33,No
L03213,754.0,0.33,72.65,No
L03214,2943.0,0.74,85.71,No
L03215,919147.58,64.61,98.53,Yes
L03216,2505.0,0.51,82.69,No
L03217,2628.0,3.0,63.79,No
L03218,2822.0,1.98,70.06,No
L03219,4933.0,0.42,93.75,No
L03220,2867.0,0.25,64.49000000000001,No
L03221,2322.0,0.38,82.49,No
L03222,4498.0,1.65,69.98,No
L03223,3982.0,0.52,61.58,No
L03224,4926.0,0.93,73.92,No
L03225,4433.0,0.75,99.54,No
L03226,3081.0,0.72,90.71,No
L03227,2605.0,1.85,69.68,No
L03228,2007.0,0.17,63.56,No
L03229,3628.0,0.38,80.23,No
L03230,2431.0,0.19,62.05,No
L03231,4834.0,0.62,78.76,No
L03232,910990.3000000002,61.63,93.21,Yes
L03233,2365.0,0.16,76.53,No
L03234,2005.0,0.45,94.98,No
L03235,3098.0,0.51,87.86,No
L03236,2120.0,0.19,82.66,No
L03237,2740.0,0.23,94.83,No
L03238,732305.02,53.43,62.7,No
L03239,1999.0,0.2,71.85,No
L03240,881.0,0.12,90.32,No
L03241,1630.0,0.27,61.22,No
L03242,755.0,0.11,60.18,No
L03243,2781.0,0.22,75.83,No
L03244,3089.0,0.21,95.82,No
L03245,4354.0,3.48,101.25,No
L03246,4860.0,0.55,84.34,No
L03247,337516.88999999996,41.98,95.06,Yes
L03248,4570.0,0.77,92.06,No
L03249,278091.08,21.64,65.86,No
L03250,2979.0,0.34,78.75,No
L03251,3639.0,0.72,84.33,No
L03252,878.0,0.13,62.900000000000006,No
L03253,425898.81,75.07,72.21,No
L03254,2853.0,0.42,91.5,No
L03255,3410.0,2.22,72.44,No
L03256,812.0,0.38,100.11,No
L03257,602.0,0.06,76.86,No
L03258,4314.0,0.41,70.57,No
L03259,652.0,0.07,71.19,No
L03260,4351.0,0.38,84.8,No
L03261,4743.0,0.33,71.36,No
L03262,3265.0,0.25,71.25,No
L03263,907.0,0.14,86.06,No
L03264,1422.0,0.39,76.43,No
L03265,4825.0,0.96,90.99,No
L03266,1828.0,0.2,79.41,No
L03267,1919.0,0.15,96.91,No
L03268,4219.0,0.4,72.6,No
L03269,4245.0,0.51,72.0,No
L03270,3672.0,0.4,87.14,No
L03271,4623.0,0.57,85.63,No
L03272,1881.0,0.13,61.66,No
L03273,1980.0,0.16,88.11,No
L03274,4927.0,0.42,,No
L03275,3491.0,0.44,94.4,No
L03276,2674.0,0.5,86.46,No
L03277,3241.0,4.14,62.94,No
L03278,64997.72,57.53,66.06,No
L03279,4509.0,4.8,91.3,No
L03280,68778.31,4.67,92.17,No
L03281,76855.09999999999,35.58,73.93,No
L03282,3179.0,1.24,67.41,No
L03283,552.0,0.07,74.21,No
L03284,46533.48,6.22,87.66,Yes
L03285,199904.41,14.44,,No
L03286,2444.0,1.56,90.74,No
L03287,1009894.5200000003,70.23,87.3,Yes
L03288,3226.0,0.89,69.88,No
L03289,3203.0,0.22,75.3,No
L03290,4316.0,0.52,86.26,No
L03291,3142.0,0.32,72.1,No
L03292,248001.2,48.84,95.84,Yes
L03293,269042.39,28.71,76.78,No
L03294,1929.0,0.18,76.07,No
L03295,705.0,1.08,64.69,No
L03296,10455.16,10.49,68.61,No
L03297,140943.2,9.52,66.14,No
L03298,289764.13000000006,40.61,72.42,No
L03299,1178.0,0.08,61.55,No
L03300,412809.0,37.25,79.83,No
L03301,832.0,0.14,74.5,No
L03302,140480.52000000002,52.28,69.63,No
L03303,3988.0,0.27,,No
L03304,2877.0,0.32,,No
L03305,4973.0,1.51,86.71,No
L03306,573.0,0.06,93.47,No
L03307,2064.0,1.12,102.62,No
L03308,1299.0,0.1,59.43,No
L03309,111266.85999999999,61.58,91.01,Yes
L03310,41366.66,10.54,66.67,No
L03311,3622.0,1.98,96.54,No
L03312,42656.340000000004,21.28,71.85,No
L03313,242064.38999999998,29.9,73.65,No
L03314,295673.64,28.26,97.18,Yes
L03315,3074.0,0.26,93.82,No
L03316,4774.0,0.45,60.84,No
L03317,2974.0,0.52,61.83,No
L03318,4014.0,0.47,90.93,No
L03319,4002.0,0.29,64.74000000000001,No
L03320,879.0,0.14,95.22,No
L03321,4566.0,1.1,94.06,No
L03322,4980.0,0.62,59.93,No
L03323,280111.60000000003,58.22,69.58,No
L03324,1844.0,0.43,59.9,No
L03325,1353.0,0.11,64.84,No
L03326,836.0,0.06,81.83,No
L03327,18933.67,2.43,86.48,No
L03328,639453.0000000002,54.16,77.7,No
L03329,162960.76000000007,50.72,72.05,No
L03330,4721.0,0.56,66.06,No
L03331,329366.24000000005,33.87,72.23,No
L03332,1694.0,0.22,85.71,No
L03333,3524.0,1.61,93.37,No
L03334,4622.0,0.41,74.78,No
L03335,1689.0,0.13,95.65,No
L03336,1932.0,0.2,62.03,No
L03337,3663.0,1.24,89.34,No
L03338,4246.0,2.69,75.21,No
L03339,47260.68,9.7,97.88,Yes
L03340,4022.0,3.88,94.86,No
L03341,587423.6000000001,46.37,86.32,Yes
L03342,1051.0,0.1,70.85,No
L03343,4537.0,0.52,78.82,No
L03344,4066.0,0.3,80.52,No
L03345,4567.0,2.18,82.02,No
L03346,1984.0,0.18,94.86,No
L03347,3618.0,1.38,87.09,No
L03348,840.0,0.61,59.49,No
L03349,3789.0,1.56,66.91,No
L03350,649547.7999999999,45.46,71.18,No
L03351,4918.0,0.71,86.22,No
L03352,2769.0,2.29,69.96,No
L03353,2381.0,0.27,70.59,No
L03354,76667.81999999999,22.58,76.02,No
L03355,10168.08,16.97,85.99,Yes
L03356,1762.0,0.15,97.17,No
L03357,1362.0,0.5,94.38,No
L03358,4813.0,0.34,71.01,No
L03359,1930.0,0.21,93.95,No
